age,count,percent
0,637834,0.011394536537729715
1,659890,0.011788554256879474
2,681032,0.012166243893180896
3,680758,0.012161349041211045
4,687213,0.012276663893274505
5,703391,0.012565674532574686
6,725210,0.012955458383414754
7,710174,0.012686848915463369
8,697777,0.012465383660462483
9,687314,0.012278468200022517
10,693071,0.01238131368465913
11,671108,0.011988957356871402
12,658113,0.011756809176768431
13,630959,0.01127171862790225
14,620868,0.011091448732910401
15,603746,0.010785574078064457
16,593955,0.010610663510046898
17,612205,0.01093668923431617
18,630236,0.011258802649894211
19,656433,0.011726796945712412
20,669694,0.011963697062399251
21,694390,0.012404876858922756
22,703885,0.012574499557659016
23,710202,0.012687349119314304
24,734483,0.013121115180190041
25,739076,0.013203166476166412
26,762933,0.013629358021585153
27,781262,0.01395679503529099
28,769510,0.013746852333284825
29,763143,0.013633109550467157
30,771626,0.013784653452876813
31,752425,0.013441638662099043
32,760433,0.013584696963466075
33,760467,0.013585304353856496
34,742646,0.013266942467160456
35,747355,0.013351066036233553
36,745970,0.013326323810035583
37,750994,0.013416074672431683
38,751689,0.013428490446588786
39,721475,0.012888734762584852
40,672988,0.012022542472576949
41,661587,0.011818870183130704
42,673229,0.012026847798579628
43,685692,0.012249492105514858
44,697088,0.012453075072844865
45,726278,0.012974537587443226
46,756102,0.013507326146380583
47,779456,0.013924531886905768
48,760189,0.013580338044193653
49,777217,0.013884533443254321
50,775934,0.01386161338822761
51,786339,0.014047492712119214
52,785536,0.014033147580251365
53,787954,0.014076343755664139
54,779688,0.013928676433099217
55,761252,0.013599327926105886
56,742901,0.013271497895088602
57,715910,0.012789319247211783
58,685060,0.012238201790022355
59,668206,0.011937114800606776
60,652943,0.011664450108578178
61,626944,0.01119999296856301
62,603322,0.01077799956260746
63,580433,0.010369100778892427
64,580732,0.010374442241443469
65,571303,0.010205998594641552
66,553421,0.009886546978127407
67,555379,0.00992152551884627
68,565071,0.010094667508962313
69,577419,0.010315257407224065
70,607104,0.010845562811330003
71,655698,0.011713666594625402
72,502223,0.008971924236695177
73,482933,0.008627319512248367
74,476842,0.008518507310247043
75,438272,0.007829476505585901
76,386454,0.0069037778217401384
77,342915,0.006125978697961516
78,352025,0.006288723593747438
79,343460,0.006135714808631475
80,327252,0.005846168236633865
81,304265,0.005435518739440563
82,281645,0.005031425485579141
83,259280,0.004631887659645865
84,231314,0.004132291199102606
85,211152,0.003772108697583862
86,195247,0.003487975045830285
87,175993,0.00314401344062039
88,153958,0.0027503708743588325
89,129352,0.0023107988759276145
90,499276,0.008919277781384407
